,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
gmni,2021-02-24 17:40:00,49814.15,50126.6,49758.52,50095.84
gmni,2021-02-24 18:00:00,50122.58,50128.0,49581.72,49586.92
gmni,2021-02-24 18:20:00,49590.93,50033.53,49552.45,49940.0
gmni,2021-02-24 18:40:00,49971.89,49971.89,49602.48,49612.0
gmni,2021-02-24 19:00:00,49612.0,49732.31,49352.38,49525.94
gmni,2021-02-24 19:20:00,49531.54,49605.91,48900.0,48916.96
gmni,2021-02-24 19:40:00,48951.76,49238.27,48902.45,48974.48
gmni,2021-02-24 20:00:00,48971.4,49255.71,48872.24,48963.37
gmni,2021-02-24 20:20:00,48950.01,49037.14,48626.66,48899.88
gmni,2021-02-24 20:40:00,48914.23,49255.52,48666.26,49179.75
gmni,2021-02-24 21:00:00,49106.84,49171.5,48222.42,48267.58
gmni,2021-02-24 21:20:00,48332.33,48575.71,48139.0,48443.79
gmni,2021-02-24 21:40:00,48518.22,48968.01,48139.0,48811.21
gmni,2021-02-24 22:00:00,48790.49,48790.49,48113.83,48351.18
gmni,2021-02-24 22:20:00,48381.29,49004.72,48315.2,48739.12
gmni,2021-02-24 22:40:00,48733.05,48947.24,48505.47,48894.23
gmni,2021-02-24 23:00:00,48852.32,49579.74,48786.49,49216.61
gmni,2021-02-24 23:20:00,49198.61,49809.31,49194.63,49630.48
gmni,2021-02-24 23:40:00,49629.76,49788.44,49498.08,49766.06
itbi,2021-02-24 00:00:00,48919.5,49100.0,47589.25,47822.5
itbi,2021-02-24 00:20:00,47783.75,47802.5,47022.0,47721.5
itbi,2021-02-24 00:40:00,47721.5,48485.25,47636.0,48485.25
itbi,2021-02-24 01:00:00,48485.25,49065.5,48447.75,49039.0
itbi,2021-02-24 01:20:00,49014.25,49333.0,48791.25,49307.25
itbi,2021-02-24 01:40:00,49307.25,50208.25,49307.0,50193.25
itbi,2021-02-24 02:00:00,50193.25,50560.25,49867.25,50052.0
itbi,2021-02-24 02:20:00,50082.0,50466.25,49821.5,50336.25
itbi,2021-02-24 02:40:00,50325.5,50437.75,50027.0,50215.5
itbi,2021-02-24 03:00:00,50166.25,50529.0,50073.0,50445.0
itbi,2021-02-24 03:20:00,50466.0,50519.0,50219.75,50519.0
itbi,2021-02-24 03:40:00,50528.0,50991.25,50313.75,50913.25
itbi,2021-02-24 04:00:00,50913.25,51391.5,50910.0,51012.75
itbi,2021-02-24 04:20:00,51005.0,51159.75,50618.25,50656.25
itbi,2021-02-24 04:40:00,50635.75,50965.25,50353.5,50650.5
itbi,2021-02-24 05:00:00,50656.5,51046.5,50248.5,50248.5
itbi,2021-02-24 05:20:00,50278.5,50542.75,50016.0,50508.5
itbi,2021-02-24 05:40:00,50513.0,50552.25,50209.0,50234.5
itbi,2021-02-24 06:00:00,50248.25,50687.75,49500.0,49676.25
itbi,2021-02-24 06:20:00,49714.0,50142.0,49597.0,49888.25
itbi,2021-02-24 06:40:00,49880.5,50419.75,49785.0,50104.75
itbi,2021-02-24 07:00:00,50104.75,50199.25,49555.25,49745.75
itbi,2021-02-24 07:20:00,49780.0,50250.0,49663.25,50127.0
itbi,2021-02-24 07:40:00,50155.5,50327.75,50019.5,50085.5
itbi,2021-02-24 08:00:00,50109.5,50910.0,49842.0,50797.75
itbi,2021-02-24 08:20:00,50736.25,50868.75,50580.25,50740.0
itbi,2021-02-24 08:40:00,50759.75,50759.75,50398.75,50680.25
itbi,2021-02-24 09:00:00,50680.25,50969.0,50420.0,50931.25
itbi,2021-02-24 09:20:00,50940.0,51226.25,50737.5,51226.25
itbi,2021-02-24 09:40:00,51278.75,51397.0,50906.25,50929.5
itbi,2021-02-24 10:00:00,50940.0,51041.75,50426.5,50597.25
itbi,2021-02-24 10:20:00,50560.25,50672.75,50198.25,50360.0
itbi,2021-02-24 10:40:00,50390.0,50647.75,50127.25,50140.25
itbi,2021-02-24 11:00:00,50180.0,50647.75,50160.0,50359.5
itbi,2021-02-24 11:20:00,50359.75,50928.0,50359.75,50660.25
itbi,2021-02-24 11:40:00,50660.25,50699.75,50227.75,50400.25
itbi,2021-02-24 12:00:00,50402.25,50972.5,50400.25,50820.0
itbi,2021-02-24 12:20:00,50830.25,51345.25,50802.5,51215.75
itbi,2021-02-24 12:40:00,51217.0,51217.0,50680.25,50734.0
itbi,2021-02-24 13:00:00,50762.75,51095.25,49595.5,49605.5
itbi,2021-02-24 13:20:00,49602.0,49984.0,49082.0,49243.0
itbi,2021-02-24 13:40:00,49260.25,49898.5,49260.25,49506.75
itbi,2021-02-24 14:00:00,49540.25,49811.25,49200.25,49622.75
